Vd_V,Vtgm_V,Id_signed_A_per_um,Ioff_signed_A_per_um,abs_Id_A_per_um,abs_Ioff_A_per_um,SS_mV_per_dec,ratio_abs_Id_over_abs_Ioff,source_report_page
-1,-1.175,-0.000121,-2.581e-16,0.000121,2.581e-16,85.321,468810538550.9493,28
-0.05,-0.858,-1.155e-05,-9.064e-17,1.155e-05,9.064e-17,88.308,127427184466.01941,28
